0.051	0.000
0.052	0.000
0.053	0.000
0.054	0.000
0.055	0.000
0.056	0.000
0.057	0.011
0.058	1.754
0.059	36.797
0.060	115.474
0.061	80.919
0.062	51.555
0.063	39.968
0.064	33.026
0.065	28.155
0.066	24.942
0.067	22.245
0.068	19.944
0.069	18.007
0.070	16.405
0.071	15.077
0.072	13.875
0.073	12.759
0.074	11.732
0.075	10.791
0.076	9.938
0.077	9.172
0.078	8.494
0.079	7.903
0.080	7.400
0.081	6.978
0.082	6.601
0.083	6.257
0.084	5.944
0.085	5.659
0.086	5.398
0.087	5.159
0.088	4.940
0.089	4.736
0.090	4.546
0.091	4.367
0.092	4.198
0.093	4.039
0.094	3.889
0.095	3.749
0.096	3.617
0.097	3.493
0.098	3.377
0.099	3.268
0.100	3.165
0.101	3.068
0.102	2.976
0.103	2.888
0.104	2.804
0.105	2.725
0.106	2.649
0.107	2.578
0.108	2.511
0.109	2.448
0.110	2.389
0.111	2.334
0.112	2.281
0.113	2.231
0.114	2.183
0.115	2.137
0.116	2.094
0.117	2.053
0.118	2.015
0.119	1.979
0.120	1.945
0.121	1.915
0.122	1.886
0.123	1.860
0.124	1.836
0.125	1.813
0.126	1.791
0.127	1.770
0.128	1.748
0.129	1.726
0.130	1.703
0.131	1.679
0.132	1.653
0.133	1.628
0.134	1.603
0.135	1.579
0.136	1.556
0.137	1.535
0.138	1.514
0.139	1.495
0.140	1.477
0.141	1.460
0.142	1.443
0.143	1.427
0.144	1.411
0.145	1.397
0.146	1.382
0.147	1.368
0.148	1.355
0.149	1.342
0.150	1.330
0.151	1.318
0.152	1.306
0.153	1.295
0.154	1.284
0.155	1.273
0.156	1.263
0.157	1.252
0.158	1.242
0.159	1.231
0.160	1.221
0.161	1.211
0.162	1.201
0.163	1.191
0.164	1.181
0.165	1.172
0.166	1.162
0.167	1.153
0.168	1.144
0.169	1.135
0.170	1.126
0.171	1.118
0.172	1.109
0.173	1.101
0.174	1.093
0.175	1.085
0.176	1.077
0.177	1.069
0.178	1.061
0.179	1.054
0.180	1.047
0.181	1.037
0.182	1.028
0.183	1.018
0.184	1.008
0.185	0.999
0.186	0.990
0.187	0.981
0.188	0.973
0.189	0.964
0.190	0.956
0.191	0.948
0.192	0.940
0.193	0.932
0.194	0.924
0.195	0.917
0.196	0.909
0.197	0.902
0.198	0.895
0.199	0.888
0.200	0.881
0.201	0.874
0.202	0.867
0.203	0.860
0.204	0.854
0.205	0.847
0.206	0.841
0.207	0.834
0.208	0.828
0.209	0.822
0.210	0.816
0.211	0.810
0.212	0.804
0.213	0.798
0.214	0.792
0.215	0.787
0.216	0.781
0.217	0.775
0.218	0.770
0.219	0.764
0.220	0.759
0.221	0.753
0.222	0.748
0.223	0.743
0.224	0.738
0.225	0.733
0.226	0.728
0.227	0.723
0.228	0.718
0.229	0.713
0.230	0.708
0.231	0.703
0.232	0.698
0.233	0.694
0.234	0.689
0.235	0.685
0.236	0.680
0.237	0.676
0.238	0.672
0.239	0.668
0.240	0.663
0.241	0.659
0.242	0.655
0.243	0.651
0.244	0.647
0.245	0.644
0.246	0.640
0.247	0.636
0.248	0.632
0.249	0.629
0.250	0.625
0.251	0.621
0.252	0.618
0.253	0.614
0.254	0.611
0.255	0.608
0.256	0.604
0.257	0.601
0.258	0.598
0.259	0.595
0.260	0.591
0.261	0.588
0.262	0.585
0.263	0.582
0.264	0.579
0.265	0.576
0.266	0.573
0.267	0.570
0.268	0.567
0.269	0.564
0.270	0.561
0.271	0.559
0.272	0.556
0.273	0.553
0.274	0.551
0.275	0.548
0.276	0.545
0.277	0.543
0.278	0.540
0.279	0.537
0.280	0.535
0.281	0.532
0.282	0.530
0.283	0.528
0.284	0.525
0.285	0.523
0.286	0.520
0.287	0.518
0.288	0.516
0.289	0.513
0.290	0.511
0.291	0.509
0.292	0.507
0.293	0.505
0.294	0.502
0.295	0.500
0.296	0.498
0.297	0.496
0.298	0.494
0.299	0.492
0.300	0.490
0.301	0.488
0.302	0.486
0.303	0.484
0.304	0.482
0.305	0.480
0.306	0.478
0.307	0.476
0.308	0.474
0.309	0.472
0.310	0.470
0.311	0.469
0.312	0.467
0.313	0.465
0.314	0.463
0.315	0.461
0.316	0.460
0.317	0.458
0.318	0.456
0.319	0.454
0.320	0.453
0.321	0.451
0.322	0.449
0.323	0.447
0.324	0.446
0.325	0.444
0.326	0.442
0.327	0.441
0.328	0.439
0.329	0.437
0.330	0.436
0.331	0.434
0.332	0.432
0.333	0.431
0.334	0.429
0.335	0.428
0.336	0.426
0.337	0.424
0.338	0.423
0.339	0.421
0.340	0.420
0.341	0.418
0.342	0.417
0.343	0.415
0.344	0.414
0.345	0.412
0.346	0.411
0.347	0.409
0.348	0.408
0.349	0.406
0.350	0.405
0.351	0.404
0.352	0.402
0.353	0.401
0.354	0.399
0.355	0.398
0.356	0.397
0.357	0.395
0.358	0.394
0.359	0.393
0.360	0.391
0.361	0.390
0.362	0.389
0.363	0.387
0.364	0.386
0.365	0.385
0.366	0.384
0.367	0.382
0.368	0.381
0.369	0.380
0.370	0.379
0.371	0.378
0.372	0.376
0.373	0.375
0.374	0.374
0.375	0.373
0.376	0.372
0.377	0.370
0.378	0.369
0.379	0.368
0.380	0.367
0.381	0.366
0.382	0.365
0.383	0.363
0.384	0.362
0.385	0.361
0.386	0.360
0.387	0.359
0.388	0.358
0.389	0.357
0.390	0.356
0.391	0.354
0.392	0.353
0.393	0.352
0.394	0.351
0.395	0.350
0.396	0.349
0.397	0.348
0.398	0.347
0.399	0.346
0.400	0.345
0.401	0.344
0.402	0.343
0.403	0.342
0.404	0.341
0.405	0.340
0.406	0.339
0.407	0.338
0.408	0.337
0.409	0.336
0.410	0.335
0.411	0.334
0.412	0.333
0.413	0.332
0.414	0.331
0.415	0.330
0.416	0.329
